"Object";"Program";"Line";"Status";"RPO"
"APIEXEJS";"APIEXEJS.PRW";"0";"NoAuth";"Custom"
"APIEXQRY";"APIEXQRY.PRW";"0";"NoAuth";"Custom"
"APIGRVZR4";"APIGRVZR4.PRW";"0";"NoAuth";"Custom"
"APIUTIL";"APIUTIL.PRW";"0";"NoAuth";"Custom"
"APIVALCHV";"APIVALCHV.PRW";"0";"NoAuth";"Custom"
"AUTHEADERCUSTOMFIELDS";"WSPLSXMOV.PRX";"0";"Prod";"Default"
"AVBSERVICES";"RT99WS01.PRW";"0";"NoAuth";"Custom"
"AVBUTIL";"AVBUTIL.PRW";"0";"NoAuth";"Custom"
"CFGXMNUCUS";"FWMENUCUSTOMIZE.PRW";"8";"Prod";"Default"
"CREATEIDSV";"FWSMARTVIEWCUSTOMSERVICE.PRW";"277";"Prod";"Default"
"CRMCUSTOMERCONTACT";"WSCRM070.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ADDRESSVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFADDRESSVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFBRWHEADER";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFCONTACTVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFGENERICSTRUCT";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFGENERICVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFINFORMATION";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFPHONEVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFSTRING";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_ARRAYOFUSERFIELD";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_BRWHEADER";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_CONTACTVALIDATIONS";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_CONTACTVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_GENERICSTRUCT";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_GENERICVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_INFORMATION";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_INFORMATIONSARRAY";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_PHONEVIEW";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMCUSTOMERCONTACT_USERFIELD";"WSCLIENT_WSCRMCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT";"WSCRM070.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_ADDRESSVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_ARRAYOFADDRESSVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_ARRAYOFBRWHEADER";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_ARRAYOFCONTACTVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_ARRAYOFGENERICSTRUCT";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_ARRAYOFGENERICVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
